pd_id,brand_name,model_name,model_number,additional_model_information,upc,product_type,type,special_type,heat_pump_technology,drum_capacity_cu_ft,height_inches,width_inches,depth_inches,combined_energy_factor_cef,estimated_annual_energy_use_kwh_yr,estimated_energy_test_cycle_time_min,energy_test_cycle_information,additional_dryer_features,vented_or_ventless,refrigerant_type,refrigerant_with_gwp,connected,connected_demand_response_functionality_tested,communication_standard_application_layer,direct_on_premises_open_standard_based_interconnection,paired_energy_star_clothes_washer_available,paired_energy_star_clothes_washer_energy_star_model_identifier,date_available_on_market,date_qualified,markets,energy_star_model_identifier,meets_most_efficient_criteria,calculated_combined_energy_factor_max_dryness_setting_lbs_kwh,voltage
2245583,LG,DLG1502*E,DLG1502*E,,48231016124,Gas Standard Vented,Gas,,,7.4,42.75,27,28.33,3.49,685,57,Normal_Normal Dry,"Time remaining display,Wrinkle prevention option,Steam cycle,Sanitization cycle",Vented,,,No,,,,No,,2015-08-13T00:00:00.000,2015-08-12T00:00:00.000,"United States, Canada",ES_1118034_DLG1502*E_08132015060749_70041561,No,,
2246397,GE,GTD65GB*J***,GTD65GB*J***,,,Gas Standard Vented,Gas,,,7.4,43.7,26.96,30.48,3.48,687,76,COTTONS/LOW TEMP CYCLE WITH DEFAULT DRYNESS SETTING OF DRY AND DEFAULT EDRY ON,"Sanitization cycle,Drum light,Time remaining display,Energy monitor/indicator",Vented,,,No,,,,No,,2015-09-01T00:00:00.000,2015-08-23T00:00:00.000,"United States, Canada",ES_1123206_GTD65GB*J***_08242015155701_1821764,No,,
2255005,Samsung,DV50K86**G*,DV50K86**G*,,8.87276E+11,Gas Standard Vented,Gas,,,7.4,46,27,30,3.49,685,65,"Normal cycle, Eco Dry, Automatic Termination, Medium temp, Normal Dry dryness level","Filter cleaning indicator,Steam cycle,Drum light,Wrinkle prevention option,Time remaining display",Vented,,,No,,,,No,,2015-12-20T00:00:00.000,2015-12-11T00:00:00.000,"United States, Canada",ES_1023593_DV50K86**G*_12112015082742_70056672,No,,
2255006,Samsung,DV45K76**G*,DV45K76**G*,,8.87276E+11,Gas Standard Vented,Gas,,,7.4,46,27,30,3.49,685,65,"Normal cycle, Eco Dry, Automatic Termination, Medium temp, Normal Dry dryness level","Filter cleaning indicator,Steam cycle,Drum light,Wrinkle prevention option,Time remaining display",Vented,,,No,,,,No,,2015-12-20T00:00:00.000,2015-12-11T00:00:00.000,"United States, Canada",ES_1023593_DV45K76**G*_12112015082742_70056672,No,,
2256236,LG,DLGX5001*,DLGX5001*,,048231015325;048231015332,Gas Standard Vented,Gas,,,7.4,38.69,27,30,3.49,685,73,Cotton/Normal_Normal Dry,"Time remaining display,Wrinkle prevention option,Steam cycle,Sanitization cycle",Vented,,,No,,,,,,2015-12-17T00:00:00.000,2015-12-17T00:00:00.000,"United States, Canada",ES_1118034_DLGX5001*_01072016065849_70059098,No,,
2256237,LG,DLGX5011*,DLGX5011*,,,Gas Standard Vented,Gas,,,7.4,38.69,27,30,3.49,685,73,Cotton/Normal_Normal Dry,"Time remaining display,Wrinkle prevention option,Steam cycle,Sanitization cycle",Vented,,,No,,,,,,2015-12-17T00:00:00.000,2015-12-17T00:00:00.000,"United States, Canada",ES_1118034_DLGX5011*_01072016065849_70059098,No,,
2257201,Samsung,DV50K75**G*,DV50K75**G*,,8.87276E+11,Gas Standard Vented,Gas,,,7.5,38.7,27,32.6,3.49,685,64,"Normal cycle, Eco Dry, Automatic Termination, Medium temp, Normal Dry dryness level","Filter cleaning indicator,Steam cycle,Drum light,Wrinkle prevention option,Time remaining display",Vented,,,No,,,,No,,2016-01-24T00:00:00.000,2016-01-13T00:00:00.000,"United States, Canada",ES_1023593_DV50K75**G*_01112016051621_70059693,No,,
2257202,Samsung,DV45K65**G*,DV45K65**G*,,8.87276E+11,Gas Standard Vented,Gas,,,7.5,38.7,27,32.6,3.49,685,64,"Normal cycle, Eco Dry, Automatic Termination, Medium temp, Normal Dry dryness level","Filter cleaning indicator,Steam cycle,Drum light,Wrinkle prevention option,Time remaining display",Vented,,,No,,,,No,,2016-01-24T00:00:00.000,2016-01-13T00:00:00.000,"United States, Canada",ES_1023593_DV45K65**G*_01112016051621_70059693,No,,
2257203,Samsung,DV45K62**G*,DV45K62**G*,,8.87276E+11,Gas Standard Vented,Gas,,,7.5,38.7,27,32.6,3.49,685,64,"Normal cycle, Eco Dry, Automatic Termination, Medium temp, Normal Dry dryness level","Filter cleaning indicator,Steam cycle,Drum light,Wrinkle prevention option,Time remaining display",Vented,,,No,,,,No,,2016-01-24T00:00:00.000,2015-01-13T00:00:00.000,"United States, Canada",ES_1023593_DV45K62**G*_01112016051621_70059693,No,,
2265545,Whirlpool,WGD9500EC*,WGD9500EC*,,,Gas Standard Vented,Gas,,,8.2,41,29,33,3.48,687,61,"ECOBOOST, MIXED + NORMAL CYCLE, AUTOMATIC TERMINATION, HIGH HEAT, MID-POINT DRYNESS LEVEL.","Drum light,Time remaining display,Wrinkle prevention option,Steam cycle,Energy monitor/indicator,Sanitization cycle,Filter cleaning indicator",Vented,,,No,,,,No,,2016-06-01T00:00:00.000,2016-04-28T00:00:00.000,"United States, Canada",ES_22856_WGD9500EC*_04282016200554_3954361,No,,
